Date,Open,High,Low,Close,Volume
2020-01-01,100.11,101.5,99.78,99.48,770260
2020-01-02,99.88,101.32,99.77,100.12,1723335
2020-01-03,100.4,102.7,99.72,101.36,1854173
2020-01-04,104.2,104.72,102.69,104.02,924453
2020-01-05,103.86,104.31,102.34,102.62,1802659
2020-01-06,103.51,104.56,102.34,102.6,1422868
2020-01-07,105.61,106.94,104.39,105.53,1745274
2020-01-08,105.54,108.35,104.8,106.65,577622
2020-01-09,105.39,107.03,104.86,106.1,1101213
2020-01-10,106.81,107.33,104.79,106.94,1172215
2020-01-11,106.09,106.94,104.11,106.2,1521892
2020-01-12,105.22,107.3,104.61,105.42,1544981
2020-01-13,105.87,107.08,104.92,105.72,1995426
2020-01-14,102.83,104.38,101.03,103.15,1996070
2020-01-15,100.29,100.74,99.14,99.11,1942903
2020-01-16,99.07,100.67,98.88,100.16,1778549
2020-01-17,98.36,98.43,96.96,96.77,558251
2020-01-18,98.13,99.7,96.95,97.8,1215618
2020-01-19,96.31,98.86,95.28,96.87,904624
2020-01-20,94.48,96.81,94.16,95.2,1965794
2020-01-21,96.89,98.37,96.39,95.56,583274
2020-01-22,97.22,97.91,94.84,96.71,868325
2020-01-23,96.8,98.74,95.2,97.22,1364106
2020-01-24,94.59,96.2,93.3,95.18,1887683
2020-01-25,93.24,94.47,92.21,93.52,1493936
2020-01-26,94.43,95.23,92.89,93.88,1354357
2020-01-27,91.98,93.17,90.67,92.0,630167
2020-01-28,92.82,94.08,91.81,92.68,1249122
2020-01-29,92.71,93.15,91.1,91.46,910063
2020-01-30,91.79,92.91,89.94,91.09,888962
2020-01-31,89.82,91.67,89.5,90.85,1333997
2020-02-01,92.52,94.16,91.44,93.48,1023058
2020-02-02,93.36,94.64,92.36,93.63,833126
2020-02-03,91.2,93.55,89.92,91.91,1762041
2020-02-04,93.36,94.53,91.14,93.39,1258647
2020-02-05,91.23,92.21,90.34,91.64,1909962
2020-02-06,91.6,93.42,89.82,90.65,714302
2020-02-07,88.23,90.45,87.43,88.15,1588535
2020-02-08,87.46,87.4,84.71,86.47,1206852
2020-02-09,88.3,87.44,85.71,86.87,1601248
2020-02-10,87.85,89.6,86.37,87.65,1605425
2020-02-11,88.42,89.99,87.05,88.7,916704
2020-02-12,88.12,90.02,87.23,89.06,712380
2020-02-13,87.49,89.46,86.82,87.71,1244012
2020-02-14,84.99,86.8,84.27,85.45,1877912
2020-02-15,83.78,85.62,82.69,84.75,740523
2020-02-16,83.07,84.17,82.23,82.7,609615
2020-02-17,85.42,86.09,83.69,85.23,866738
2020-02-18,85.47,86.92,84.81,86.22,1751097
2020-02-19,81.8,84.53,81.87,82.77,1482891
2020-02-20,83.8,84.91,83.01,82.96,1097797
2020-02-21,82.98,84.61,81.27,82.91,648047
2020-02-22,82.66,82.9,80.0,81.95,1669131
2020-02-23,83.09,84.25,81.79,82.45,542392
2020-02-24,83.71,85.08,83.93,85.49,1037593
2020-02-25,84.73,86.96,85.09,85.6,1624791
2020-02-26,84.22,86.21,83.11,84.01,762372
2020-02-27,83.81,85.66,82.7,84.07,1546076
