Date,Open,High,Low,Close,Volume
2000-01-01,201.6,202.11,199.62,202.17,2099312
2000-01-02,201.07,203.99,200.67,201.57,324747
2000-01-03,204.15,206.37,202.87,206.17,2312793
2000-01-04,205.05,206.98,203.8,204.76,2211356
2000-01-05,205.22,206.33,204.44,204.37,4730120
2000-01-06,203.33,206.55,202.74,204.99,4072990
2000-01-07,201.3,203.54,200.31,202.8,499178
2000-01-08,200.72,201.57,198.04,201.73,606947
2000-01-09,199.83,200.5,198.39,197.89,117796
2000-01-10,200.83,203.88,199.27,199.29,4763147
2000-01-11,198.0,200.92,196.32,198.0,1614380
2000-01-12,200.36,203.78,199.71,201.15,3954044
2000-01-13,200.62,202.02,199.33,199.2,1992340
2000-01-14,199.34,200.05,196.76,198.91,4966399
2000-01-15,198.57,198.95,195.86,196.55,4920650
2000-01-16,194.95,197.39,194.33,194.82,2025458
2000-01-17,195.36,196.48,193.6,197.71,392214
2000-01-18,195.61,197.1,193.98,195.71,1475208
2000-01-19,197.51,198.24,196.38,198.97,4828229
2000-01-20,198.04,199.28,196.06,199.34,2531913
2000-01-21,199.08,198.38,196.63,195.74,3569946
2000-01-22,196.33,198.84,194.99,196.31,4874110
2000-01-23,195.34,197.43,194.75,194.01,1783307
2000-01-24,191.0,194.46,191.21,192.73,4930432
2000-01-25,191.53,195.65,192.18,193.87,3010585
2000-01-26,192.91,194.98,193.01,192.46,2347357
2000-01-27,189.93,190.87,187.76,191.81,2888849
2000-01-28,188.1,188.96,186.92,189.3,3565589
2000-01-29,192.0,193.86,190.35,193.12,3228970
2000-01-30,192.84,194.67,191.15,192.77,480718
2000-01-31,192.96,192.51,190.31,192.82,1762851
2000-02-01,196.23,196.88,193.6,195.27,2521785
2000-02-02,197.72,199.7,196.37,198.17,1264821
2000-02-03,192.99,195.81,192.69,193.66,547726
2000-02-04,197.15,197.43,195.08,197.73,3743719
2000-02-05,199.99,200.39,197.73,198.8,1880465
2000-02-06,202.7,203.76,200.57,203.39,1977296
2000-02-07,202.74,202.15,200.29,202.14,1079193
2000-02-08,201.66,203.33,201.08,201.86,4735095
2000-02-09,200.46,201.02,198.35,199.65,1470349
2000-02-10,195.64,197.77,194.61,197.29,3831726
2000-02-11,192.59,193.84,191.34,194.25,2520688
2000-02-12,195.71,196.33,193.86,196.05,1757498
2000-02-13,195.82,198.21,195.28,197.44,3634822
2000-02-14,195.68,197.89,195.04,196.8,4025901
2000-02-15,197.01,197.38,194.41,195.55,4151027
2000-02-16,196.44,198.03,195.87,197.43,4301908
2000-02-17,198.99,198.38,195.78,196.52,4858040
2000-02-18,196.31,197.27,193.9,195.38,4800630
2000-02-19,194.56,196.74,193.89,195.36,141593
2000-02-20,199.12,200.27,196.98,197.63,1833936
2000-02-21,198.21,199.57,196.12,198.07,4576565
2000-02-22,200.01,201.93,198.71,201.14,2001153
2000-02-23,201.72,203.43,200.77,201.51,4219128
2000-02-24,203.76,202.66,200.33,203.33,3493278
2000-02-25,206.53,210.1,207.3,207.81,824238
2000-02-26,210.67,210.46,208.09,209.34,1965515
2000-02-27,209.56,211.65,209.19,209.0,4476311
2000-02-28,207.98,209.28,206.28,210.58,1608116
2000-02-29,209.44,210.54,207.37,208.24,4664749
2000-03-01,211.4,212.48,209.75,210.37,1657646
2000-03-02,211.72,213.9,210.7,210.87,4961896
2000-03-03,210.18,211.2,208.05,210.05,1296251
2000-03-04,208.03,211.02,207.86,211.17,4678618
2000-03-05,207.3,209.17,207.11,206.2,2528096
2000-03-06,206.92,208.75,204.74,207.44,974589
2000-03-07,208.59,207.51,204.32,206.63,208235
2000-03-08,205.19,206.64,203.54,205.43,361935
2000-03-09,208.28,207.53,206.07,206.09,2056745
2000-03-10,209.12,209.82,205.71,207.17,830960
2000-03-11,205.3,206.82,204.53,205.4,4169402
2000-03-12,204.85,208.12,205.64,206.78,3117260
2000-03-13,208.65,209.08,205.31,207.5,649691
2000-03-14,202.05,206.89,203.33,204.35,2033319
2000-03-15,199.53,201.43,197.77,199.24,1908147
2000-03-16,201.02,204.7,201.31,202.89,2657335
2000-03-17,205.5,204.38,202.35,203.24,1136423
2000-03-18,201.07,203.15,200.67,203.94,3364392
2000-03-19,199.31,200.48,197.13,198.82,3658553
2000-03-20,192.67,197.76,194.54,196.45,133884
2000-03-21,197.03,197.77,193.98,197.22,2221193
2000-03-22,196.71,198.87,196.21,197.17,2449869
2000-03-23,194.88,198.14,194.73,196.37,1744350
2000-03-24,194.09,196.25,193.2,195.25,2464535
2000-03-25,196.7,198.74,195.0,196.71,2987174
2000-03-26,199.37,202.41,197.56,198.79,4068895
2000-03-27,199.36,202.14,199.03,201.36,4742834
2000-03-28,204.61,203.08,201.04,203.46,437783
2000-03-29,202.98,204.34,201.69,201.5,2040297
2000-03-30,202.24,204.8,200.13,202.6,627132
2000-03-31,203.93,204.87,202.58,203.1,2919510
2000-04-01,202.91,204.61,199.95,200.71,2060972
2000-04-02,201.71,202.1,199.54,199.4,2732270
2000-04-03,200.03,201.99,198.4,199.91,2944197
2000-04-04,197.72,198.63,196.05,198.22,2534944
2000-04-05,199.83,201.02,198.47,200.12,1687767
2000-04-06,204.6,205.4,202.86,204.18,4684078
2000-04-07,204.94,203.94,201.28,202.24,788016
2000-04-08,202.41,205.46,202.19,203.3,4770610
2000-04-09,204.58,206.51,204.38,203.8,2841277
2000-04-10,203.63,203.92,200.95,202.93,2298051
2000-04-11,203.64,204.64,201.57,202.16,104060
2000-04-12,202.22,203.74,201.89,202.49,3944365
2000-04-13,204.94,206.03,203.03,203.14,558208
2000-04-14,204.03,205.97,202.78,203.8,2717196
2000-04-15,206.59,206.79,204.24,204.87,4297105
2000-04-16,206.61,208.57,204.28,208.54,280901
2000-04-17,203.7,205.04,202.83,205.32,3880456
2000-04-18,203.46,203.76,201.14,202.85,2582537
2000-04-19,200.42,202.67,198.89,201.26,3123361
2000-04-20,201.08,203.49,199.01,202.55,1852860
2000-04-21,203.58,205.42,202.28,204.59,422810
2000-04-22,203.25,206.04,201.9,201.91,3170557
2000-04-23,203.27,205.08,201.27,204.62,2878710
2000-04-24,199.98,201.83,198.8,200.73,498225
2000-04-25,198.0,200.89,197.28,199.77,3985817
2000-04-26,201.3,202.47,199.43,199.16,4442483
2000-04-27,197.7,200.57,197.24,200.4,3906300
2000-04-28,198.1,201.54,198.69,201.18,4987500
2000-04-29,200.52,201.95,198.34,199.8,1737380
2000-04-30,201.67,202.4,199.99,200.73,2040012
2000-05-01,203.11,204.09,201.58,202.94,2204275
2000-05-02,202.52,203.38,200.05,200.79,4712733
2000-05-03,202.13,202.68,199.65,200.97,2993465
2000-05-04,201.85,204.16,199.84,200.76,4365868
2000-05-05,199.69,200.74,197.41,200.42,3114836
2000-05-06,200.35,201.45,199.64,199.74,110593
2000-05-07,195.96,197.07,195.02,196.67,2131223
2000-05-08,197.38,197.14,195.02,198.08,4170177
2000-05-09,197.42,198.25,194.81,196.09,1703936
2000-05-10,194.71,195.09,193.01,194.55,2580060
2000-05-11,194.67,196.75,194.06,193.23,3333661
2000-05-12,194.49,195.57,194.01,195.62,2300100
2000-05-13,193.3,194.43,191.72,192.11,163363
2000-05-14,195.64,196.32,192.57,195.66,3808140
2000-05-15,193.69,195.73,192.13,193.59,4560731
2000-05-16,193.63,198.11,194.56,196.28,1861883
2000-05-17,200.38,201.24,198.32,199.57,4132719
2000-05-18,201.85,203.43,200.47,202.95,4969923
2000-05-19,201.38,202.78,199.89,201.94,1925301
2000-05-20,202.8,204.3,200.8,203.86,1804387
2000-05-21,200.27,202.12,198.84,198.77,4535753
2000-05-22,198.55,199.04,195.39,196.27,4642939
2000-05-23,198.89,201.04,198.1,198.87,1956741
2000-05-24,199.46,200.72,197.73,199.61,3421315
2000-05-25,203.94,204.06,200.43,202.1,829295
2000-05-26,202.43,203.47,200.34,200.49,4113749
2000-05-27,203.42,204.43,201.99,204.61,3389652
2000-05-28,206.24,205.94,203.03,203.91,1612355
2000-05-29,202.37,203.76,200.48,203.74,859152
2000-05-30,202.96,204.0,199.51,201.34,4141898
2000-05-31,203.09,204.9,201.53,203.77,2120580
2000-06-01,201.72,203.87,200.95,202.08,339949
2000-06-02,200.45,202.84,199.28,201.04,4053970
2000-06-03,199.02,200.66,198.34,200.01,1970794
2000-06-04,198.14,201.19,197.24,197.52,1658900
2000-06-05,199.73,202.18,198.7,200.12,4314699
2000-06-06,202.18,202.94,199.05,199.83,4621802
